SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
lightguide200stretch,1-Stretch,0.000,98.002,0,-2.155
lightguide200stretch,1-Stretch,0.200,98.039,0.037,-2.044
lightguide200stretch,1-Stretch,0.400,98.079,0.077,-2.100
lightguide200stretch,1-Hold,0.500,98.097,0.095,-2.044
lightguide200stretch,1-Hold,0.700,98.097,0.095,-2.100
lightguide200stretch,1-Hold,0.900,98.097,0.095,-2.100
lightguide200stretch,2-Stretch,1.000,98.1,0.098,-2.100
lightguide200stretch,2-Stretch,1.200,98.139,0.137,-2.044
lightguide200stretch,2-Stretch,1.400,98.176,0.174,-1.988
lightguide200stretch,2-Hold,1.500,98.195,0.193,-2.044
lightguide200stretch,2-Hold,1.700,98.195,0.193,-2.044
lightguide200stretch,2-Hold,1.900,98.195,0.193,-2.100
lightguide200stretch,3-Stretch,2.000,98.197,0.195,-2.044
lightguide200stretch,3-Stretch,2.200,98.237,0.235,-2.044
lightguide200stretch,3-Stretch,2.400,98.274,0.272,-2.044
lightguide200stretch,3-Hold,2.500,98.292,0.29,-2.044
lightguide200stretch,3-Hold,2.700,98.292,0.29,-2.044
lightguide200stretch,3-Hold,2.900,98.292,0.29,-1.988
lightguide200stretch,4-Stretch,3.000,98.295,0.293,-2.044
lightguide200stretch,4-Stretch,3.200,98.335,0.333,-1.988
lightguide200stretch,4-Stretch,3.400,98.372,0.37,-1.988
lightguide200stretch,4-Hold,3.500,98.39,0.388,-1.988
lightguide200stretch,4-Hold,3.700,98.39,0.388,-2.044
lightguide200stretch,4-Hold,3.900,98.39,0.388,-2.044
lightguide200stretch,5-Stretch,4.000,98.393,0.391,-2.100
lightguide200stretch,5-Stretch,4.200,98.432,0.43,-1.988
lightguide200stretch,5-Stretch,4.400,98.469,0.467,-1.933
lightguide200stretch,5-Hold,4.500,98.488,0.486,-1.988
lightguide200stretch,5-Hold,4.700,98.488,0.486,-1.933
lightguide200stretch,5-Hold,4.900,98.488,0.486,-2.044
lightguide200stretch,6-Stretch,5.000,98.49,0.488,-1.988
lightguide200stretch,6-Stretch,5.200,98.53,0.528,-1.988
lightguide200stretch,6-Stretch,5.400,98.567,0.565,-1.988
lightguide200stretch,6-Hold,5.500,98.586,0.584,-1.988
lightguide200stretch,6-Hold,5.700,98.586,0.584,-1.988
lightguide200stretch,6-Hold,5.900,98.586,0.584,-1.933
lightguide200stretch,7-Stretch,6.000,98.588,0.586,-1.988
lightguide200stretch,7-Stretch,6.200,98.628,0.626,-1.933
lightguide200stretch,7-Stretch,6.400,98.665,0.663,-1.933
lightguide200stretch,7-Hold,6.500,98.683,0.681,-1.933
lightguide200stretch,7-Hold,6.700,98.683,0.681,-1.988
lightguide200stretch,7-Hold,6.900,98.683,0.681,-1.933
lightguide200stretch,8-Stretch,7.000,98.686,0.684,-1.988
lightguide200stretch,8-Stretch,7.200,98.725,0.723,-1.933
lightguide200stretch,8-Stretch,7.400,98.762,0.76,-1.877
lightguide200stretch,8-Hold,7.500,98.781,0.779,-1.933
lightguide200stretch,8-Hold,7.700,98.781,0.779,-1.877
lightguide200stretch,8-Hold,7.900,98.781,0.779,-1.988
lightguide200stretch,9-Stretch,8.000,98.784,0.782,-1.933
lightguide200stretch,9-Stretch,8.200,98.823,0.821,-1.988
lightguide200stretch,9-Stretch,8.400,98.86,0.858,-1.877
lightguide200stretch,9-Hold,8.500,98.879,0.877,-1.933
lightguide200stretch,9-Hold,8.700,98.879,0.877,-1.877
lightguide200stretch,9-Hold,8.900,98.879,0.877,-1.877
lightguide200stretch,10-Stretch,9.000,98.881,0.879,-1.933
lightguide200stretch,10-Stretch,9.200,98.921,0.919,-1.877
lightguide200stretch,10-Stretch,9.400,98.958,0.956,-1.877
lightguide200stretch,10-Hold,9.500,98.976,0.974,-1.877
